"Exp Date",Symbol,"Contract Name",Last,"52W High","52W High Date","52W Low","52W Low Date","52W %Chg",Time
2020-07-14,ZSN20,"Soybean July 2020 Futures",882.25,985.5,2019-10-22,818.5,2020-04-21,-7.71%,2020-07-15
2020-08-14,ZSQ20,"Soybean August 2020 Futures",903.5,987.5,2020-01-02,821.75,2020-04-21,-2.80%,2020-08-14
2020-09-14,ZSU20,"Soybean September 2020 Futures",1019.25,1025,2020-09-11,825,2020-04-21,+7.54%,2020-09-14
2020-11-13,ZSX20,"Soybean November 2020 Futures",1141.5,1150.25,2020-11-11,831,2020-04-21,+19.50%,2020-11-13
2021-01-14,ZSF21,"Soybean January 2021 Futures",1436.5,1438.25,2021-01-13,835.5,2020-04-21,+47.67%,2021-01-14
2021-03-12,ZSH21,"Soybean March 2021 Futures",1415.75,1463,2021-03-08,824.75,2020-04-24,+63.15%,2021-03-12
2021-05-14,ZSK21,"Soybean May 2021 Futures",1603.75,1677.25,2021-05-12,831.75,2020-05-15,+92.82%,2021-05-14
2021-07-14,ZSN21,"Soybean July 2021 Futures",1467.75,1667.5,2021-05-12,886,2020-08-10,+65.15%,2021-07-14
2021-08-13,ZSQ21,"Soybean August 2021 Futures",1424.25,1596.25,2021-05-12,913.5,2020-08-14,+55.10%,2021-08-13
2021-09-14,ZSU21,"Soybean September 2021 Futures",1276.5,1510.75,2021-06-07,960.75,2020-09-29,+30.79%,2021-09-14
2021-11-12,ZSX21,"Soybean November 2021 Futures",1234,1480,2021-06-07,1022.25,2020-12-02,+19.66%,2021-11-12
2022-01-14,ZSF22,"Soybean January 2022 Futures",1356.75,1479,2021-06-07,1092.75,2021-01-25,+13.96%,2022-01-14
2022-03-14,ZSH22,"Soybean March 2022 Futures",1687.25,1765,2022-02-24,1170.75,2021-03-31,+37.62%,2022-03-15
2022-05-13,ZSK22,"Soybean May 2022 Futures",1723.25,1759.25,2022-02-24,1204.5,2021-11-09,+27.44%,2022-05-13
2022-07-14,ZSN22,"Soybean July 2022 Futures",1610,1784,2022-06-09,1213.5,2021-11-09,+18.17%,2022-07-14
2022-08-12,ZSQ22,"Soybean August 2022 Futures",1669.25,1737.75,2022-08-11,1213.25,2021-11-09,+26.24%,2022-08-12
2022-09-14,ZSU22,"Soybean September 2022 Futures",1503.75,1614,2022-08-26,1199,2021-11-09,+17.48%,2022-09-15
2022-11-14,ZSX22,"Soybean November 2022 Futures",1441.75,1584.75,2022-06-09,1204.75,2021-12-01,+16.25%,2022-11-14
2023-01-13,ZSF23,"Soybean January 2023 Futures",1538.25,1587.75,2022-06-09,1278.25,2022-01-18,+17.74%,2023-01-13
2023-03-14,ZSH23,"Soybean March 2023 Futures",1499.75,1572.25,2022-06-09,1299,2022-07-22,+5.39%,2023-03-14
2023-05-12,ZSK23,"Soybean May 2023 Futures",1435,1567.5,2022-06-09,1300,2022-07-22,-2.05%,2023-05-12
2023-07-14,ZSN23,"Soybean July 2023 Futures",1495.75,1616.5,2023-07-03,1270.75,2023-05-31,+11.50%,2023-07-14
2023-08-14,ZSQ23,"Soybean August 2023 Futures",1391,1580.75,2023-07-27,1193.25,2023-05-31,-2.68%,2023-08-14
2023-09-14,ZSU23,"Soybean September 2023 Futures",1343.75,1490,2023-07-27,1135.75,2023-05-31,-3.52%,2023-09-14
2023-11-14,ZSX23,"Soybean November 2023 Futures",1368.75,1435,2023-07-24,1130.5,2023-05-31,-0.98%,2023-11-14
2024-01-12,ZSF24,"Soybean January 2024 Futures",1205.75,1441,2023-07-24,1141.5,2023-05-31,-13.74%,2024-01-12
2024-03-14,ZSH24,"Soybean March 2024 Futures",1180.75,1428.25,2023-07-24,1115,2024-02-29,-11.59%,2024-03-14
2024-05-14,ZSK24,"Soybean May 2024 Futures",1199,1420.75,2023-07-24,1128.5,2024-02-29,-3.62%,2024-05-14
2024-07-12,ZSN24,"Soybean July 2024 Futures",1134.5,1421,2023-11-15,1134.5,2024-07-12,-13.50%,2024-07-12
2024-08-14,ZSQ24,"Soybean August 2024 Futures",979.75,1393.75,2023-11-15,979.75,2024-08-14,-25.73%,2024-08-14
2024-09-13,ZSU24,"Soybean September 2024 Futures",986.75,1338.75,2023-11-21,936.25,2024-08-16,-24.88%,2024-09-13
2024-11-14,ZSX24,"Soybean November 2024 Futures",985.75,1317,2023-11-21,955,2024-08-16,-24.84%,2024-11-14
2025-01-14,ZSF25,"Soybean January 2025 Futures",1043,1240,2024-05-07,945.25,2024-12-19,-13.82%,2025-01-14
2025-03-14,ZSH25,"Soybean March 2025 Futures",1014.75,1235.25,2024-05-07,947,2024-12-19,-11.06%,"10:01 CT"
2025-05-14,ZSK25,"Soybean May 2025 Futures",1028,1236.5,2024-05-07,955.5,2024-12-19,-10.24%,"10:03 CT"
2025-07-14,ZSN25,"Soybean July 2025 Futures",1042,1241.75,2024-05-07,966,2024-12-19,-9.51%,"10:02 CT"
2025-08-14,ZSQ25,"Soybean August 2025 Futures",1040.25,1232.75,2024-05-07,964,2024-12-19,-9.29%,"10:02 CT"
2025-09-12,ZSU25,"Soybean September 2025 Futures",1027,1211,2024-05-07,955,2024-12-19,-8.88%,"10:02 CT"
2025-11-14,ZSX25,"Soybean November 2025 Futures",1031.5,1203.75,2024-05-07,961,2024-12-19,-8.14%,"10:02 CT"
2026-01-14,ZSF26,"Soybean January 2026 Futures",1042.75,1211.25,2024-05-07,972.25,2024-12-19,-7.88%,"10:02 CT"
2026-03-13,ZSH26,"Soybean March 2026 Futures",1044.5,1209.75,2024-05-07,976.25,2024-12-19,-7.75%,"09:43 CT"
2026-05-14,ZSK26,"Soybean May 2026 Futures",1047,1212.5,2024-05-07,984.25,2024-12-19,-7.75%,"10:02 CT"
2026-07-14,ZSN26,"Soybean July 2026 Futures",1054.5,1217.75,2024-05-07,993.5,2024-12-19,-7.54%,"09:45 CT"
2026-08-14,ZSQ26,"Soybean August 2026 Futures",1056,1211.75,2024-05-07,995,2024-12-18,-6.65%,2025-02-27
2026-09-14,ZSU26,"Soybean September 2026 Futures",1037.25,1190,2024-05-07,985,2024-12-18,-6.83%,2025-02-27
2026-11-13,ZSX26,"Soybean November 2026 Futures",1027.5,1183,2024-05-07,983,2024-12-19,-6.71%,"10:02 CT"
2027-01-14,ZSF27,"Soybean January 2027 Futures",1044.75,1062.25,2025-02-04,996,2024-12-18,+1.14%,2025-02-27
2027-03-12,ZSH27,"Soybean March 2027 Futures",1046.75,1063.5,2025-02-04,997.25,2024-12-18,+1.21%,2025-02-27
2027-05-14,ZSK27,"Soybean May 2027 Futures",1051,1069.5,2025-02-04,1003.25,2024-12-18,+1.03%,2025-02-27
2027-07-14,ZSN27,"Soybean July 2027 Futures",1059.75,1178.5,2024-05-07,1017,2024-12-18,-3.57%,2025-02-27
2027-08-13,ZSQ27,"Soybean August 2027 Futures",1058.5,1077,2025-02-04,1015.75,2024-12-18,+1.63%,2025-02-27
2027-09-14,ZSU27,"Soybean September 2027 Futures",1046,1064.5,2025-02-04,1003.25,2024-12-18,+1.65%,2025-02-27
2027-11-12,ZSX27,"Soybean November 2027 Futures",1046.75,1150,2024-05-07,1009,2024-12-18,-2.72%,2025-02-27
2028-07-14,ZSN28,"Soybean July 2028 Futures",1066.5,1085,2025-02-04,1029.75,2024-12-18,+1.55%,2025-02-27
2028-11-14,ZSX28,"Soybean November 2028 Futures",1032.75,1053,2025-01-02,1007.5,2024-12-18,-0.10%,2025-02-27
"Downloaded from Barchart.com as of 02-28-2025 10:13am CST"
